gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
PCDHB3,0.219,,,0.992,,,,,0.00191,,,0.657,,,,,,0.903,,0.117
CSNK1G1,0.649,,,0.595,,,,,0.676,,,0.567,,,,,,0.131,,0.759
KIN,0.771,,,0.8,,,,,0.619,,,0.000315,,,,,,0.219,,0.15
SMIM12,0.905,0.794,,0.696,,,,,0.182,0.831,,0.624,,,,0.409,,0.00128,0.532,0.928
PLOD3,0.246,0.728,,0.285,,,,,0.444,0.752,,0.61,,,,0.329,,0.223,0.474,0.337
SAMD11,0.844,,,0.743,,,,,0.218,,,0.615,,,,,,0.839,,0.652
CISH,0.205,,,0.127,,,,,0.223,,,0.629,,,,,,0.421,,0.691
CRNKL1,0.943,0.251,,0.949,,,,,0.871,0.211,,0.00546,,,,0.745,,0.712,0.654,0.00326
NOLC1,0.149,0.335,,0.47,,,,,0.985,0.242,,0.065,,,,0.568,,0.566,0.268,0.0167
TNR,0.717,,,0.722,,,,,0.163,,,0.529,,,,,,0.757,,0.358
NUDT3,0.571,,,0.176,,,,,0.6,,,0.564,,,,,,0.636,,0.75
SUPT5H,0.98,,,0.784,,,,,0.753,,,0.000335,,,,,,0.771,,0.0211
TTLL13,,,,0.485,,,,,0.822,,,0.627,,,,,,0.285,,0.776
NAGLU,0.567,,,0.434,,,,,0.737,,,0.563,,,,,,0.452,,0.545
NAT8,0.51,,,0.0203,,,,,0.591,,,0.484,,,,,,0.405,,0.481
NUP42,0.515,,,0.649,,,,,0.608,,,0.457,,,,,,0.842,,0.404
RASL12,0.861,,,0.775,,,,,0.714,,,0.729,,,,,,0.145,,0.876
AEN,0.485,,,0.689,0.636,,0.72,0.635,0.228,,0.494,0.645,0.747,0.714,0.749,,0.79,0.0865,,0.631
ORC4,0.0348,,,0.541,,,,,0.899,,,0.213,,,,,,0.763,,0.0093
CAPN3,0.727,,,0.533,,,,,0.359,,,0.641,,,,,,0.172,,0.554
ADD2,0.413,,,0.578,,,,,0.422,,,0.558,,,,,,0.356,,0.744
DMC1,0.762,,,0.681,0.761,,0.79,0.276,0.224,,0.309,0.468,0.882,0.572,0.779,,0.862,0.334,,0.872
NUDT19,0.376,,,0.557,,,,,0.379,,,0.419,,,,,,0.81,,0.118
VEZF1,0.227,,,0.657,,,,,0.397,,,0.594,,,,,,0.426,,0.098
HTATSF1,0.398,,,0.967,,,,,0.795,,,0.000857,,,,,,0.978,,0.000263
DDB1,1.0,,,0.927,0.648,,0.114,0.872,0.611,,0.763,1.4e-05,0.228,0.419,0.088,,0.0353,0.913,,0.00283
ABCB10,0.348,,,0.128,,,,,0.666,,,0.57,,,,,,0.713,,0.684
SMR3A,0.0339,,,0.219,,,,,0.511,,,0.516,,,,,,0.191,,0.885
CDKN3,0.00806,,,0.0965,,,,,0.858,,,0.629,,,,,,0.256,,0.543
SRSF6,0.721,,,0.96,,,,,0.316,,,0.203,,,,,,0.615,,0.0732
DTX2,0.547,,,0.913,,,,,0.628,,,0.331,,,,,,0.0878,,0.393
LARP4,0.717,,,0.227,,,,,0.947,,,0.417,,,,,,0.0342,,0.609
OR6C75,0.631,,,0.932,,,,,0.461,,,0.598,,,,,,0.817,,0.551
PNPLA6,0.685,,,0.458,,,,,0.0908,,,0.537,,,,,,0.119,,0.708
OAZ3,0.206,,,0.645,,,,,0.0183,,,0.513,,,,,,0.598,,0.419
CWC25,0.482,,,0.658,,,,,0.91,,,0.0251,,,,,,0.246,,0.134
POLD1,0.957,,,0.845,0.628,,0.268,0.643,0.83,,0.996,0.764,0.333,0.544,0.209,,0.399,0.202,,1.79e-05
AGO1,0.725,,,0.858,,,,,0.346,,,0.555,,,,,,0.423,,0.413
LINC00632,,,,0.702,,,,,0.46,,,0.632,,,,,,0.797,,0.368
TTLL11,0.577,,,0.533,,,,,0.839,,,0.389,,,,,,0.904,,0.452
KRT9,0.362,,,0.543,,,,,0.415,,,0.629,,,,,,0.219,,0.46
TTF2,0.596,,0.284,0.626,,0.592,,,0.832,,,0.501,,,,,,0.579,,0.541
KLHL34,0.069,,,0.792,,,,,0.175,,,0.644,,,,,,0.457,,0.708
TMEM184B,0.569,,,0.137,,,,,0.902,,,0.491,,,,,,0.639,,0.423
CDC5L,0.741,,,0.896,0.28,,0.104,0.146,0.907,,0.845,0.000283,0.051,0.468,0.0634,,0.172,0.0392,,0.00865
GJC3,0.142,,,0.961,,,,,0.401,,,0.572,,,,,,0.755,,0.785
ZNF605,0.778,,,0.586,,,,,0.669,,,0.645,,,,,,0.672,,0.572
TRMT2B,0.843,,,0.684,,,,,0.584,,,0.6,,,,,,0.598,,0.835
INTS6,0.093,,,0.863,,,,,0.614,,,9.82e-06,,,,,,0.999,,0.015
SUMO1,0.498,,,0.819,,,,,0.792,,,0.644,,,,,,0.486,,0.712
HAUS8,0.811,,,0.334,,,,,0.966,,,0.21,,,,,,0.239,,0.0363
GMPPB,0.692,,,0.48,,,,,0.915,,,0.438,,,,,,0.576,,0.158
CRYL1,0.822,,,0.501,,,,,0.655,,,0.668,,,,,,0.206,,0.902
TAF1B,0.685,,,0.612,,,,,0.962,,,0.0461,,,,,,0.954,,0.0306
PCGF6,0.00305,,,0.575,,,,,0.874,,,0.555,,,,,,0.778,,0.631
DUSP21,0.83,,,0.798,,,,,0.614,,,0.607,,,,,,0.504,,0.604
DDA1,0.491,,,0.593,,,,,0.484,,,0.24,,,,,,0.985,,0.385
AGO4,0.473,,,0.795,,,,,0.448,,,0.458,,,,,,0.823,,0.25
GATA6,0.114,,,0.426,,,,,0.692,,,0.823,,,,,,1.02e-05,,0.927
MESD,0.106,,,0.67,,,,,0.753,,,0.432,,,,,,0.55,,0.0228
ASIP,0.667,,,0.687,,,,,0.137,,,0.56,,,,,,0.83,,0.347
MYL5,0.615,,,0.918,,,,,0.37,,,0.619,,,,,,0.364,,0.697
BLK,0.0337,,,0.537,,,,,0.955,,,0.511,,,,,,0.609,,0.602
KANSL1,0.975,0.509,,0.042,,,,,0.289,0.457,,0.00593,,,,0.923,,0.404,0.559,0.689
SPN,0.868,,,0.673,,,,,0.495,,,0.626,,,,,,0.734,,0.796
AGAP2,0.324,,,0.465,,,,,0.118,,,0.384,,,,,,0.991,,0.343
CNOT10,0.405,0.39,,0.342,,,,,0.078,0.209,,0.703,,,,0.0162,,0.986,0.00337,0.088
CYP1B1,0.233,,,0.448,,,,,0.44,,,0.679,,,,,,0.476,,0.694
GHRHR,0.372,,,0.651,,,,,0.503,,,0.649,,,,,,0.744,,0.518
AURKAIP1,0.326,,,0.935,,,,,0.724,,,0.36,,,,,,0.239,,0.144
ZRSR2,0.44,,,0.866,,,,,0.867,,,0.56,,,,,,0.334,,0.347
DHRS4,0.319,,,0.944,,,,,0.315,,,0.72,,,,,,0.289,,0.74
COPS7B,0.631,,,0.395,,,,,0.885,,,0.695,,,,,,0.609,,0.648
OCA2,0.217,,,0.489,,,,,0.382,,,0.738,,,,,,0.143,,0.788
DGKI,0.684,,,0.355,,,,,0.26,,,0.705,,,,,,0.182,,0.724
SEZ6L2,0.42,,,0.3,,,,,0.44,,,0.526,,,,,,0.649,,0.438
MAP3K1,0.504,,,0.298,,,,,0.5,,,0.687,,,,,,0.426,,0.539
RETSAT,0.996,,,0.417,,,,,0.147,,,0.499,,,,,,0.124,,0.666
FCMR,0.49,,,0.655,,,,,0.468,,,0.512,,,,,,0.764,,0.485
UMPS,0.434,,,0.715,,,,,0.701,,,0.584,,,,,,0.238,,0.69
THUMPD1,0.766,,,0.955,,,,,0.429,,,0.498,,,,,,0.694,,0.614
BRI3,0.522,,,0.524,,,,,0.373,,,0.594,,,,,,0.569,,0.54
MBIP,0.15,,,0.977,,,,,0.721,,,0.709,,,,,,0.645,,0.673
UBR5,0.426,,,0.0961,,,,,0.968,,,0.0816,,,,,,0.23,,0.268
CDH5,0.705,,,0.645,,,,,0.368,,,0.669,,,,,,0.0905,,0.694
UAP1,0.922,,,0.542,,,,,0.416,,,0.604,,,,,,0.68,,0.748
RASGRF2,0.448,,,0.545,,,,,0.865,,,0.581,,,,,,0.532,,0.475
DCAF17,0.905,,,0.504,,,,,0.0996,,,0.589,,,,,,0.679,,0.701
SZT2,0.00795,,,0.582,,,,,0.0289,,,0.501,,,,,,0.866,,0.844
OR10AG1,0.317,,,0.234,,,,,0.599,,,0.65,,,,,,0.684,,0.413
SQOR,0.933,,,0.0333,,,,,0.401,,,0.651,,,,,,0.213,,0.775
SRP68,0.948,,,0.39,,,,,0.922,,,0.0105,,,,,,0.789,,0.0351
NUP214,0.619,,,0.883,,,,,0.553,,,0.000215,,,,,,0.855,,6.32e-05
ZNF776,0.348,,,0.705,,,,,0.811,,,0.702,,,,,,0.479,,0.894
FAM20A,0.382,,,0.756,,,,,0.349,,,0.691,,,,,,0.253,,0.578
ADAMDEC1,0.747,,,0.352,,,,,0.979,,,0.759,,,,,,0.575,,0.628
DCAF5,0.411,,,0.986,,,,,0.953,,,0.745,,,,,,0.629,,0.68
PBXIP1,0.265,,,0.562,,,,,0.7,,,0.568,,,,,,0.28,,0.87
TM6SF2,0.944,,,0.228,,,,,0.342,,,0.417,,,,,,0.129,,0.524
TMEM79,0.656,,,0.621,,,,,0.193,,,0.433,,,,,,0.24,,0.356
POLA1,0.584,0.053,,0.942,0.722,,0.124,0.896,0.511,0.0879,0.73,0.000571,0.472,0.537,0.0561,0.86,0.197,0.173,0.966,0.044
FLOT1,0.691,,,0.101,,,,,0.292,,,0.533,,,,,,0.685,,0.49
LRRC15,0.918,,,0.212,,,,,0.5,,,0.459,,,,,,0.226,,0.911
FAM178B,0.764,,,0.62,,,,,0.305,,,0.557,,,,,,0.683,,0.321
ANO6,0.452,,,0.105,,,,,0.727,,,0.713,,,,,,0.25,,0.493
CEBPE,0.73,,,0.588,,,,,0.429,,,0.574,,,,,,0.737,,0.631
ZSWIM6,0.261,,,0.559,,,,,0.117,,,0.819,,,,,,0.0667,,0.971
CUL2,0.933,,,0.0158,,,,,0.996,,,0.00584,,,,,,0.833,,0.0101
POU6F1,0.126,,,0.375,,,,,0.0676,,,0.603,,,,,,0.78,,0.753
SH3BP1,0.0702,,,0.449,,,,,0.587,,,0.479,,,,,,0.714,,0.628
MINDY4,0.413,,,0.429,,,,,0.132,,,0.614,,,,,,0.359,,0.434
CHRNA7,0.673,,,0.0564,,,,,0.156,,,0.672,,,,,,0.444,,0.849
EXTL3,0.28,,,0.771,,,,,0.565,,,0.584,,,,,,0.000931,,0.891
TCP10L,0.486,,,0.682,,,,,0.995,,,0.566,,,,,,0.401,,0.468
CDKN2AIP,0.328,,,0.731,,,,,0.638,,,0.531,,,,,,0.0895,,0.232
STK11,0.0349,,,0.908,,,,,0.959,,,0.0208,,,,,,0.81,,0.0183
GEMIN5,0.0912,0.194,,0.993,,,,,0.979,0.164,,6.4e-07,,,,0.451,,0.427,0.502,1.06e-05
LIG4,0.659,,,0.902,0.583,,0.364,0.51,0.999,,0.505,0.604,0.527,0.281,0.582,,0.415,0.139,,0.489
F8,0.482,0.737,,0.673,,,,,0.448,0.755,,0.589,,,,0.453,,0.331,0.493,0.648
FNDC3B,0.596,0.664,,0.356,,,,,0.598,0.661,,0.491,,,,0.303,,0.638,0.364,0.669
RND2,0.348,,,0.701,,,,,0.562,,,0.459,,,,,,0.779,,0.222
HACD3,,,,0.883,,,,,0.65,,,0.659,,,,,,0.234,,0.934
IL17RE,0.828,0.785,,0.968,,,,,0.315,0.773,,0.636,,,,0.521,,0.778,0.344,0.474
BAP1,0.442,,,0.637,,,,,0.993,,,0.429,,,,,,0.747,,0.0715
RAB11FIP5,0.0263,,,0.828,,,,,0.367,,,0.456,,,,,,0.713,,0.584
SLC7A13,0.907,,,0.391,,,,,0.218,,,0.633,,,,,,0.219,,0.51
CTDP1,0.896,,,0.88,,,,,0.998,,,0.00292,,,,,,0.617,,0.00584
TRAPPC6A,0.489,,,0.827,,,,,0.639,,,0.594,,,,,,0.491,,0.654
MEX3B,0.616,,,0.523,,,,,0.0983,,,0.729,,,,,,0.683,,0.651
ATP2B2,0.757,,,0.359,,,,,0.157,,,0.555,,,,,,0.438,,0.34
NLRP7,0.00328,,,0.842,,,,,0.772,,,0.633,,,,,,0.739,,0.33
NF1,0.708,,,0.478,,,,,0.495,,,0.819,,,,,,0.0129,,0.799
CCDC63,0.26,,,0.155,,,,,0.849,,,0.514,,,,,,0.59,,0.457
ALDOA,0.973,,,0.733,,,,,0.893,,,3.45e-15,,,,,,0.87,,1.84e-08
DPP6,0.00176,,,0.773,,,,,0.0465,,,0.652,,,,,,0.388,,0.735
KCTD13,0.826,,,0.322,,,,,0.85,,,0.728,,,,,,0.172,,0.617
SLC27A6,0.423,,,0.466,,,,,0.931,,,0.645,,,,,,0.376,,0.71
GPAT2,0.379,,,0.283,,,,,0.284,,,0.356,,,,,,0.18,,0.504
TNFAIP8L1,0.412,,,0.835,,,,,0.682,,,0.648,,,,,,0.858,,0.647
GMIP,0.278,,,0.457,,,,,0.297,,,0.436,,,,,,0.233,,0.686
FXR2,0.537,,,0.852,,,,,0.0684,,,0.635,,,,,,0.253,,0.966
SERP1,0.57,,,0.404,,,,,0.955,,,0.637,,,,,,0.561,,0.406
MED19,0.71,,,0.156,,,,,0.904,,,0.0837,,,,,,0.941,,0.0874
FAM3C,0.868,,,0.145,,,,,0.0552,,,0.587,,,,,,0.519,,0.775
SLK,0.501,,,0.221,,,,,0.862,,,0.525,,,,,,0.378,,0.145
RAD1,0.375,,,0.0306,0.278,,0.198,0.602,0.881,,0.165,0.146,0.217,0.401,0.215,,0.227,0.114,,0.0675
BDKRB1,0.803,,,0.823,,,,,0.285,,,0.583,,,,,,0.915,,0.528
UBAP2L,0.626,0.643,,0.84,,,,,0.221,0.302,,0.51,,,,0.815,,0.976,0.00158,0.813
CTNNBIP1,0.785,,,0.379,,,,,0.00615,,,0.723,,,,,,0.00087,,0.922
DNAAF4,0.71,,,0.0307,,,,,0.276,,,0.623,,,,,,0.0638,,0.819
SPR,0.685,,,0.96,,,,,0.501,,,0.603,,,,,,0.324,,0.387
TAOK2,0.601,,,0.173,,,,,0.957,,,0.851,,,,,,0.58,,0.917
RNF138,0.619,,,0.0942,0.582,,0.723,0.456,0.729,,0.573,0.647,0.794,0.393,0.767,,0.845,0.0625,,0.54
CCL13,0.146,,,0.792,,,,,0.837,,,0.602,,,,,,0.362,,0.333
THRAP3,0.599,,,0.79,,,,,0.983,,,0.528,,,,,,0.892,,0.753
PNISR,0.0195,,,0.962,,,,,0.701,,,0.261,,,,,,0.763,,0.144
SPINT2,0.604,,,0.729,,,,,0.0909,,,0.581,,,,,,0.452,,0.508
TMEM80,0.257,,,0.336,,,,,0.078,,,0.539,,,,,,0.726,,0.754
NAALADL2,0.324,,,0.421,,,,,0.713,,,0.546,,,,,,0.298,,0.679
OR10G3,0.849,,,0.371,,,,,0.956,,,0.712,,,,,,0.57,,0.632
RRM2,0.0388,,,0.0892,0.816,,0.213,0.108,0.679,,1.48e-06,0.00743,0.395,0.744,0.0454,,0.118,0.581,,0.00578
RND3,0.939,,,0.568,,,,,0.702,,,0.799,,,,,,0.616,,0.567
CCDC70,0.17,,,0.981,,,,,0.173,,,0.507,,,,,,0.114,,0.742
MAP4K1,0.124,,,0.875,,,,,0.662,,,0.608,,,,,,0.49,,0.667
OGFOD2,0.21,,,0.0288,,,,,0.275,,,0.639,,,,,,0.294,,0.507
OR2Z1,0.352,,,0.0155,,,,,0.0928,,,0.558,,,,,,0.231,,0.538
ANXA10,0.961,,,0.0186,,,,,0.491,,,0.682,,,,,,0.443,,0.809
WDR61,0.89,,,,,,,,,,,,,,,,,0.95,,0.00425
CES2,0.546,,,0.403,,,,,0.654,,,0.488,,,,,,0.572,,0.33
TBC1D31,0.64,,,0.163,,,,,0.135,,,0.621,,,,,,0.752,,0.532
B3GAT3,0.543,,,0.569,,,,,0.606,,,0.337,,,,,,0.184,,0.24
PRDX1,0.317,0.764,,0.687,,,,,0.424,0.699,,0.588,,,,0.561,,0.526,0.169,0.621
SLC48A1,0.804,,,0.461,,,,,0.568,,,0.715,,,,,,0.73,,0.743
TADA1,0.508,,,0.0295,,,,,0.996,,,0.0132,,,,,,0.89,,0.286
HCRT,0.831,,,0.714,,,,,0.0983,,,0.599,,,,,,0.378,,0.67
GABRA2,0.354,,,0.591,,,,,0.755,,,0.715,,,,,,0.553,,0.26
UFC1,0.632,,,0.441,,,,,0.999,,,0.232,,,,,,0.547,,0.247
TMEM120B,0.51,,,0.000436,,,,,0.438,,,0.649,,,,,,0.829,,0.473
DCAF15,0.944,,,0.763,,,,,0.732,,,0.549,,,,,,0.325,,0.782
DHX8,0.165,0.15,,0.967,0.377,,0.245,0.874,0.118,0.0996,0.751,0.000227,0.136,0.477,0.127,0.533,0.181,0.238,0.337,0.0112
ZNF835,0.729,,,0.159,,,,,0.161,,,0.71,,,,,,0.187,,0.765
BMT2,0.935,,,0.231,,,,,0.25,,,0.636,,,,,,0.981,,0.703
CACNA2D1,0.016,,,0.821,,,,,0.101,,,0.506,,,,,,0.352,,0.652
OR10H2,0.403,,,0.742,,,,,0.895,,,0.725,,,,,,0.492,,0.861
RALGAPA1,0.193,,,0.0499,,,,,0.78,,,0.661,,,,,,0.654,,0.689
MAEA,0.246,0.346,,0.055,,,,,0.333,0.272,,0.38,,,,0.381,,0.465,0.261,0.233
PTCD2,0.279,,,0.0512,,,,,0.437,,,0.478,,,,,,0.135,,0.431
NWD1,0.92,,,0.281,,,,,0.0529,,,0.438,,,,,,0.36,,0.561
ATG10,0.557,,,0.772,,,,,0.733,,,0.702,,,,,,0.655,,0.349
VANGL1,0.000927,,,0.534,,,,,0.0179,,,0.562,,,,,,0.998,,0.175
INAVA,0.905,,,0.063,,,,,0.531,,,0.546,,,,,,0.667,,0.63
RCVRN,0.0621,,,0.278,,,,,0.0959,,,0.591,,,,,,0.842,,0.58
CHAC1,0.871,,,0.744,,,,,0.236,,,0.577,,,,,,0.275,,0.761
UPF3A,0.717,,,0.653,,,,,0.847,,,0.335,,,,,,0.0536,,0.727
CEP95,0.637,,,0.631,,,,,0.525,,,0.623,,,,,,0.505,,0.697
GRPEL2,0.918,,,0.489,,,,,0.436,,,0.656,,,,,,0.295,,0.669
MARS1,0.996,,,0.872,,,,,0.873,,,0.000239,,,,,,0.758,,5.79e-05
AGAP1,0.372,,,0.408,,,,,0.189,,,0.818,,,,,,0.21,,0.859
GPC4,0.466,,,0.688,,,,,0.401,,,0.651,,,,,,0.492,,0.507
CFDP1,0.0379,,,0.102,,,,,0.633,,,0.00105,,,,,,0.117,,0.0263
UBC,0.842,,,0.367,,,,,0.997,,,0.185,,,,,,0.32,,0.0203
TRNT1,0.0155,,,0.256,,,,,0.735,,,0.0357,,,,,,0.69,,0.00352
NPAS3,0.374,,,0.676,,,,,0.154,,,0.723,,,,,,0.589,,0.371
DHX29,0.686,0.505,,0.211,,,,,0.455,0.339,,0.406,,,,0.0759,,0.436,0.0173,0.164
DAD1,0.93,,,0.881,,,,,0.829,,,6.55e-06,,,,,,0.482,,0.000416
SHQ1,0.321,0.163,,0.337,,,,,0.95,0.207,,0.0091,,,,0.787,,0.512,0.947,0.000275
MAPK8IP3,0.409,0.745,,0.207,,,,,0.778,0.746,,0.587,,,,0.526,,0.496,0.416,0.334
NAA50,0.747,,,0.137,,,,,0.977,,,0.000431,,,,,,0.857,,6.04e-05
ZDHHC19,0.305,0.789,,0.423,,,,,0.487,0.839,,0.466,,,,0.568,,0.498,0.685,0.381
ZFAT,0.88,,,0.722,,,,,0.95,,,0.611,,,,,,0.0119,,0.791
ADIRF,0.25,,,0.88,,,,,0.379,,,0.506,,,,,,0.473,,0.673
USP31,0.0757,,,0.603,,,,,0.62,,,0.689,,,,,,0.682,,0.582
MED10,0.0442,,,0.497,,,,,0.979,,,0.0297,,,,,,0.503,,0.141
GBF1,0.663,,,0.281,,,,,0.325,,,0.0022,,,,,,0.653,,0.133
CYP2F1,0.762,,,0.568,,,,,0.1,,,0.61,,,,,,0.605,,0.51
ZNF81,0.531,,,0.741,,,,,0.887,,,0.712,,,,,,0.331,,0.611
TMPO,0.319,,,0.342,,,,,0.453,,,0.426,,,,,,0.655,,0.191
ZRANB1,0.966,,,0.644,,,,,0.454,,,0.372,,,,,,0.0757,,0.338
MED6,0.902,,,0.194,,,,,0.997,,,0.000677,,,,,,0.0823,,0.0859
SMR3B,0.321,,,0.367,,,,,0.718,,,0.582,,,,,,0.364,,0.804
BEND2,0.632,,,0.845,,,,,0.753,,,0.576,,,,,,0.739,,0.78
TAFA4,0.762,,,0.813,,,,,0.658,,,0.572,,,,,,0.613,,0.667
DPH2,0.998,,,0.573,,,,,0.717,,,0.352,,,,,,0.125,,0.131
MCM7,0.724,,,0.319,,,,,0.893,,,0.0053,,,,,,0.571,,0.0374
AKIRIN2,0.196,,,0.23,,,,,0.766,,,0.00276,,,,,,0.00969,,0.0364
ARL1,0.546,,,0.186,,,,,1.0,,,0.524,,,,,,0.922,,0.205
GTF3C6,0.73,,,0.45,,,,,0.958,,,0.418,,,,,,0.0874,,0.645
GID8,0.375,,,0.446,,,,,0.245,,,0.293,,,,,,0.457,,0.198
CCDC32,0.852,,,0.878,,,,,0.946,,,0.834,,,,,,0.18,,0.735
ZNF229,0.455,,,0.626,,,,,0.384,,,0.677,,,,,,0.291,,0.582
NT5C,0.176,,,0.522,,,,,0.117,,,0.644,,,,,,0.518,,0.421
C1orf116,0.0428,,,0.00275,,,,,0.609,,,0.602,,,,,,0.00528,,0.737
LMNA,0.608,,,0.00476,0.392,,0.774,0.452,0.162,,0.483,0.177,0.446,0.599,0.795,,0.371,0.945,,0.00899
ZNF329,0.523,,,0.243,,,,,0.939,,,0.54,,,,,,0.331,,0.478
FADS6,0.111,,,0.877,,,,,0.247,,,0.542,,,,,,0.914,,0.213
IFT27,0.153,,,0.238,,,,,0.723,,,0.564,,,,,,0.417,,0.591
CDK14,0.927,,,0.447,,,,,0.309,,,0.689,,,,,,0.191,,0.521
KIAA0408,0.471,,,0.719,,,,,0.214,,,0.624,,,,,,0.748,,0.852
MYBPH,0.822,,,0.113,,,,,0.0795,,,0.62,,,,,,0.284,,0.76
RLN3,0.437,,,0.508,,,,,0.0663,,,0.564,,,,,,0.281,,0.582
OR6K3,0.418,,,0.193,,,,,0.481,,,0.569,,,,,,0.788,,0.415
MORN3,0.667,,,0.934,,,,,0.567,,,0.456,,,,,,0.944,,0.346
SLC38A10,0.724,0.54,,0.105,,,,,0.703,0.547,,0.685,,,,0.328,,0.09,0.48,0.575
BMP1,0.632,,,0.661,,,,,0.0505,,,0.695,,,,,,0.759,,0.869
TENM1,0.437,,,0.372,,,,,0.471,,,0.673,,,,,,0.893,,0.8
B3GNT3,0.365,,,0.587,,,,,0.277,,,0.468,,,,,,0.716,,0.599
CDYL,0.38,,,0.732,,,,,0.389,,,0.642,,,,,,0.943,,0.556
DTL,0.0118,,,0.71,,,,,0.828,,,6.46e-08,,,,,,0.0521,,0.0069
RANGRF,0.573,0.793,,0.455,,,,,0.693,0.831,,0.578,,,,0.754,,0.577,0.699,0.627
PTPRB,0.958,,,0.553,,,,,0.658,,,0.679,,,,,,0.856,,0.717
FEM1C,0.137,,,0.0832,,,,,0.809,,,0.479,,,,,,0.0904,,0.386
SEMA4F,0.771,,,0.581,,,,,0.0661,,,0.41,,,,,,0.253,,0.61
LARP4B,0.479,,,0.25,,,,,0.89,,,0.577,,,,,,0.273,,0.631
CCDC198,0.144,,,0.509,,,,,0.471,,,0.593,,,,,,0.368,,0.619
FAN1,0.546,,,0.101,0.178,,0.76,4.01e-05,0.615,,0.178,0.695,0.701,0.581,0.761,,0.88,0.169,,0.636
RAB13,0.0499,,,0.808,,,,,0.517,,,0.356,,,,,,0.458,,0.812
CDX2,0.359,,,0.891,,,,,0.551,,,0.275,,,,,,0.591,,0.634
TDP2,0.383,,,0.441,0.33,,0.751,0.537,0.989,,0.119,0.364,0.385,0.492,0.817,,0.429,0.781,,0.398
NELFB,0.922,,,0.64,0.499,,0.35,0.59,0.634,,0.934,0.000456,0.169,0.665,0.294,,0.193,0.601,,0.00223
SMARCA5,0.415,,,0.994,,,,,0.888,,,0.0697,,,,,,0.949,,0.0823
NAT10,0.686,,0.564,0.231,,0.109,,,0.957,,,0.000114,,,,,,0.46,,1.5e-05
SURF6,0.981,,,0.487,,,,,0.714,,,0.113,,,,,,0.804,,0.0498
RBM42,0.863,,,0.403,,,,,0.516,,,0.212,,,,,,0.925,,0.315
SPEN,0.183,,,0.62,,,,,0.942,,,0.303,,,,,,0.0956,,0.15
YPEL3,0.438,,,0.526,,,,,0.673,,,0.583,,,,,,0.923,,0.438
CPN2,0.657,,,0.992,,,,,0.396,,,0.584,,,,,,0.74,,0.627
COL27A1,0.742,0.792,,0.109,,,,,0.076,0.814,,0.698,,,,0.565,,0.935,0.523,0.49
PRAM1,0.0506,,,0.115,,,,,0.206,,,0.519,,,,,,0.437,,0.582
ATPAF1,0.413,,,0.602,,,,,0.237,,,0.571,,,,,,0.116,,0.753
PATZ1,0.746,,,0.0952,,,,,0.396,,,0.316,,,,,,0.338,,0.272
CENPM,0.663,,,0.56,,,,,0.141,,,8.84e-05,,,,,,0.568,,0.000133
CMKLR1,0.301,,,0.723,,,,,0.792,,,0.555,,,,,,0.435,,0.724
IAPP,0.4,,,0.699,,,,,0.805,,,0.618,,,,,,0.502,,0.785
H2AC4,0.448,,,0.000153,,,,,0.299,,,0.552,,,,,,0.803,,0.437
SFTA3,0.0603,,,0.69,,,,,0.243,,,0.693,,,,,,0.456,,0.674
MMRN1,0.0656,,,0.937,,,,,0.419,,,0.646,,,,,,0.755,,0.43
RETNLB,0.201,,,0.189,,,,,0.508,,,0.654,,,,,,0.78,,0.751
SCARF1,0.841,,,0.973,,,,,0.481,,,0.56,,,,,,0.677,,0.591
CHI3L1,0.845,,,0.461,,,,,0.221,,,0.545,,,,,,0.0851,,0.551
GYPA,0.0275,,,0.887,,,,,0.303,,,0.626,,,,,,0.481,,0.717
ORMDL3,0.774,,,0.457,,,,,0.0328,,,0.59,,,,,,0.419,,0.693
RNF122,0.898,,,0.641,,,,,0.744,,,0.654,,,,,,0.0683,,0.769
NCBP3,0.0821,,,0.00824,,,,,0.0791,,,0.561,,,,,,0.754,,0.416
BPGM,0.229,,,0.00148,,,,,0.22,,,0.694,,,,,,0.715,,0.65
