gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
CRNKL1,0.0569,0.749,,0.0506,,,,,0.129,0.789,,0.995,,,,0.255,,0.288,0.346,0.997
NOLC1,0.851,0.665,,0.53,,,,,0.0154,0.758,,0.935,,,,0.432,,0.434,0.732,0.983
TNR,0.283,,,0.278,,,,,0.837,,,0.471,,,,,,0.243,,0.642
NUDT3,0.429,,,0.824,,,,,0.4,,,0.436,,,,,,0.364,,0.25
SUPT5H,0.0201,,,0.216,,,,,0.247,,,1.0,,,,,,0.229,,0.979
TTLL13,,,,0.515,,,,,0.178,,,0.373,,,,,,0.715,,0.224
NAGLU,0.433,,,0.566,,,,,0.263,,,0.437,,,,,,0.548,,0.455
NAT8,0.49,,,0.98,,,,,0.409,,,0.516,,,,,,0.595,,0.519
NUP42,0.485,,,0.351,,,,,0.392,,,0.543,,,,,,0.158,,0.596
RASL12,0.139,,,0.225,,,,,0.286,,,0.271,,,,,,0.855,,0.124
AEN,0.515,,,0.311,0.364,,0.28,0.365,0.772,,0.506,0.355,0.253,0.286,0.251,,0.21,0.914,,0.369
ORC4,0.965,,,0.459,,,,,0.101,,,0.787,,,,,,0.237,,0.991
CAPN3,0.273,,,0.467,,,,,0.641,,,0.359,,,,,,0.828,,0.446
ADD2,0.587,,,0.422,,,,,0.578,,,0.442,,,,,,0.644,,0.256
DMC1,0.238,,,0.319,0.239,,0.21,0.724,0.776,,0.691,0.532,0.118,0.428,0.221,,0.138,0.666,,0.128
NUDT19,0.624,,,0.443,,,,,0.621,,,0.581,,,,,,0.19,,0.882
VEZF1,0.773,,,0.343,,,,,0.603,,,0.406,,,,,,0.574,,0.902
HTATSF1,0.602,,,0.0335,,,,,0.205,,,0.999,,,,,,0.0224,,1.0
DDB1,0.000155,,,0.0734,0.352,,0.886,0.128,0.389,,0.237,1.0,0.772,0.581,0.912,,0.965,0.0873,,0.997
ABCB10,0.652,,,0.872,,,,,0.334,,,0.43,,,,,,0.287,,0.316
SMR3A,0.966,,,0.781,,,,,0.489,,,0.484,,,,,,0.809,,0.115
CDKN3,0.992,,,0.904,,,,,0.142,,,0.371,,,,,,0.744,,0.457
SRSF6,0.279,,,0.0399,,,,,0.684,,,0.797,,,,,,0.385,,0.927
DTX2,0.453,,,0.087,,,,,0.372,,,0.669,,,,,,0.912,,0.607
LARP4,0.283,,,0.773,,,,,0.0534,,,0.583,,,,,,0.966,,0.391
OR6C75,0.369,,,0.068,,,,,0.539,,,0.402,,,,,,0.183,,0.449
PNPLA6,0.315,,,0.542,,,,,0.909,,,0.463,,,,,,0.881,,0.292
OAZ3,0.794,,,0.355,,,,,0.982,,,0.487,,,,,,0.402,,0.581
CWC25,0.518,,,0.342,,,,,0.0903,,,0.975,,,,,,0.754,,0.866
POLD1,0.0433,,,0.155,0.372,,0.732,0.357,0.17,,0.00436,0.236,0.667,0.456,0.791,,0.601,0.798,,1.0
AGO1,0.275,,,0.142,,,,,0.654,,,0.445,,,,,,0.577,,0.587
LINC00632,,,,0.298,,,,,0.54,,,0.368,,,,,,0.203,,0.632
TTLL11,0.423,,,0.467,,,,,0.161,,,0.611,,,,,,0.0959,,0.548
KRT9,0.638,,,0.457,,,,,0.585,,,0.371,,,,,,0.781,,0.54
TTF2,0.404,,0.716,0.374,,0.408,,,0.168,,,0.499,,,,,,0.421,,0.459
KLHL34,0.931,,,0.208,,,,,0.825,,,0.356,,,,,,0.543,,0.292
TMEM184B,0.431,,,0.863,,,,,0.098,,,0.509,,,,,,0.361,,0.577
CDC5L,0.259,,,0.104,0.72,,0.896,0.854,0.0925,,0.155,1.0,0.949,0.532,0.937,,0.828,0.961,,0.991
GJC3,0.858,,,0.0392,,,,,0.599,,,0.428,,,,,,0.245,,0.215
ZNF605,0.222,,,0.414,,,,,0.331,,,0.355,,,,,,0.328,,0.428
TRMT2B,0.157,,,0.316,,,,,0.416,,,0.4,,,,,,0.402,,0.165
INTS6,0.907,,,0.137,,,,,0.386,,,1.0,,,,,,0.000685,,0.985
SUMO1,0.502,,,0.181,,,,,0.208,,,0.356,,,,,,0.514,,0.288
HAUS8,0.189,,,0.666,,,,,0.0339,,,0.79,,,,,,0.761,,0.964
GMPPB,0.308,,,0.52,,,,,0.0849,,,0.562,,,,,,0.424,,0.842
CRYL1,0.178,,,0.499,,,,,0.345,,,0.332,,,,,,0.794,,0.0983
TAF1B,0.315,,,0.388,,,,,0.0376,,,0.954,,,,,,0.0457,,0.969
PCGF6,0.997,,,0.425,,,,,0.126,,,0.445,,,,,,0.222,,0.369
DUSP21,0.17,,,0.202,,,,,0.386,,,0.393,,,,,,0.496,,0.396
DDA1,0.509,,,0.407,,,,,0.516,,,0.76,,,,,,0.0148,,0.615
AGO4,0.527,,,0.205,,,,,0.552,,,0.542,,,,,,0.177,,0.75
GATA6,0.886,,,0.574,,,,,0.308,,,0.177,,,,,,1.0,,0.0726
MESD,0.894,,,0.33,,,,,0.247,,,0.568,,,,,,0.45,,0.977
ASIP,0.333,,,0.313,,,,,0.863,,,0.44,,,,,,0.17,,0.653
MYL5,0.385,,,0.082,,,,,0.63,,,0.381,,,,,,0.636,,0.303
BLK,0.966,,,0.463,,,,,0.0455,,,0.489,,,,,,0.391,,0.398
KANSL1,0.0248,0.491,,0.958,,,,,0.711,0.543,,0.994,,,,0.0772,,0.596,0.441,0.311
SPN,0.132,,,0.327,,,,,0.505,,,0.374,,,,,,0.266,,0.204
AGAP2,0.676,,,0.535,,,,,0.882,,,0.616,,,,,,0.00879,,0.657
CNOT10,0.595,0.61,,0.658,,,,,0.922,0.791,,0.297,,,,0.984,,0.0144,0.997,0.912
CYP1B1,0.767,,,0.552,,,,,0.56,,,0.321,,,,,,0.524,,0.306
GHRHR,0.628,,,0.349,,,,,0.497,,,0.351,,,,,,0.256,,0.482
AURKAIP1,0.674,,,0.0647,,,,,0.276,,,0.64,,,,,,0.761,,0.856
ZRSR2,0.56,,,0.134,,,,,0.133,,,0.44,,,,,,0.666,,0.653
DHRS4,0.681,,,0.0562,,,,,0.685,,,0.28,,,,,,0.711,,0.26
COPS7B,0.369,,,0.605,,,,,0.115,,,0.305,,,,,,0.391,,0.352
OCA2,0.783,,,0.511,,,,,0.618,,,0.262,,,,,,0.857,,0.212
DGKI,0.316,,,0.645,,,,,0.74,,,0.295,,,,,,0.818,,0.276
SEZ6L2,0.58,,,0.7,,,,,0.56,,,0.474,,,,,,0.351,,0.562
MAP3K1,0.496,,,0.702,,,,,0.5,,,0.313,,,,,,0.574,,0.461
RETSAT,0.00382,,,0.583,,,,,0.853,,,0.501,,,,,,0.876,,0.334
FCMR,0.51,,,0.345,,,,,0.532,,,0.488,,,,,,0.236,,0.515
UMPS,0.566,,,0.285,,,,,0.299,,,0.416,,,,,,0.762,,0.31
THUMPD1,0.234,,,0.0447,,,,,0.571,,,0.502,,,,,,0.306,,0.386
BRI3,0.478,,,0.476,,,,,0.627,,,0.406,,,,,,0.431,,0.46
MBIP,0.85,,,0.023,,,,,0.279,,,0.291,,,,,,0.355,,0.327
UBR5,0.574,,,0.904,,,,,0.032,,,0.918,,,,,,0.77,,0.732
CDH5,0.295,,,0.355,,,,,0.632,,,0.331,,,,,,0.91,,0.306
UAP1,0.078,,,0.458,,,,,0.584,,,0.396,,,,,,0.32,,0.252
RASGRF2,0.552,,,0.455,,,,,0.135,,,0.419,,,,,,0.468,,0.525
DCAF17,0.0946,,,0.496,,,,,0.9,,,0.411,,,,,,0.321,,0.299
SZT2,0.992,,,0.418,,,,,0.971,,,0.499,,,,,,0.134,,0.156
OR10AG1,0.683,,,0.766,,,,,0.401,,,0.35,,,,,,0.316,,0.587
SQOR,0.0673,,,0.967,,,,,0.599,,,0.349,,,,,,0.787,,0.225
SRP68,0.0524,,,0.61,,,,,0.0782,,,0.99,,,,,,0.211,,0.965
NUP214,0.381,,,0.117,,,,,0.447,,,1.0,,,,,,0.145,,1.0
ZNF776,0.652,,,0.295,,,,,0.189,,,0.298,,,,,,0.521,,0.106
FAM20A,0.618,,,0.244,,,,,0.651,,,0.309,,,,,,0.747,,0.422
ADAMDEC1,0.253,,,0.648,,,,,0.0213,,,0.241,,,,,,0.425,,0.372
DCAF5,0.589,,,0.0136,,,,,0.0467,,,0.255,,,,,,0.371,,0.32
PBXIP1,0.735,,,0.438,,,,,0.3,,,0.432,,,,,,0.72,,0.13
TM6SF2,0.0563,,,0.772,,,,,0.658,,,0.583,,,,,,0.871,,0.476
TMEM79,0.344,,,0.379,,,,,0.807,,,0.567,,,,,,0.76,,0.644
POLA1,0.416,0.947,,0.0579,0.278,,0.876,0.104,0.489,0.912,0.27,0.999,0.528,0.463,0.944,0.14,0.803,0.827,0.0343,0.956
FLOT1,0.309,,,0.899,,,,,0.708,,,0.467,,,,,,0.315,,0.51
LRRC15,0.0815,,,0.788,,,,,0.5,,,0.541,,,,,,0.774,,0.0893
FAM178B,0.236,,,0.38,,,,,0.695,,,0.443,,,,,,0.317,,0.679
ANO6,0.548,,,0.895,,,,,0.273,,,0.287,,,,,,0.75,,0.507
CEBPE,0.27,,,0.412,,,,,0.571,,,0.426,,,,,,0.263,,0.369
ZSWIM6,0.739,,,0.441,,,,,0.883,,,0.181,,,,,,0.933,,0.0292
CUL2,0.0673,,,0.984,,,,,0.00355,,,0.994,,,,,,0.167,,0.99
POU6F1,0.874,,,0.625,,,,,0.932,,,0.397,,,,,,0.22,,0.247
SH3BP1,0.93,,,0.551,,,,,0.413,,,0.521,,,,,,0.286,,0.372
MINDY4,0.587,,,0.571,,,,,0.868,,,0.386,,,,,,0.641,,0.566
CHRNA7,0.327,,,0.944,,,,,0.844,,,0.328,,,,,,0.556,,0.151
EXTL3,0.72,,,0.229,,,,,0.435,,,0.416,,,,,,0.999,,0.109
TCP10L,0.514,,,0.318,,,,,0.00534,,,0.434,,,,,,0.599,,0.532
CDKN2AIP,0.672,,,0.269,,,,,0.362,,,0.469,,,,,,0.911,,0.768
STK11,0.965,,,0.0922,,,,,0.0408,,,0.979,,,,,,0.19,,0.982
GEMIN5,0.909,0.806,,0.00705,,,,,0.0205,0.836,,1.0,,,,0.549,,0.573,0.498,1.0
LIG4,0.341,,,0.0982,0.417,,0.636,0.49,0.001,,0.495,0.396,0.473,0.719,0.418,,0.585,0.861,,0.511
F8,0.518,0.263,,0.327,,,,,0.552,0.245,,0.411,,,,0.547,,0.669,0.507,0.352
FNDC3B,0.404,0.336,,0.644,,,,,0.402,0.339,,0.509,,,,0.697,,0.362,0.636,0.331
RND2,0.652,,,0.299,,,,,0.438,,,0.541,,,,,,0.221,,0.778
HACD3,,,,0.117,,,,,0.35,,,0.341,,,,,,0.766,,0.0657
IL17RE,0.172,0.215,,0.0315,,,,,0.685,0.227,,0.364,,,,0.479,,0.222,0.656,0.526
BAP1,0.558,,,0.363,,,,,0.00667,,,0.571,,,,,,0.253,,0.928
RAB11FIP5,0.974,,,0.172,,,,,0.633,,,0.544,,,,,,0.287,,0.416
SLC7A13,0.0928,,,0.609,,,,,0.782,,,0.367,,,,,,0.781,,0.49
CTDP1,0.104,,,0.12,,,,,0.00225,,,0.997,,,,,,0.383,,0.994
TRAPPC6A,0.511,,,0.173,,,,,0.361,,,0.406,,,,,,0.509,,0.346
MEX3B,0.384,,,0.477,,,,,0.902,,,0.271,,,,,,0.317,,0.349
ATP2B2,0.243,,,0.641,,,,,0.843,,,0.445,,,,,,0.562,,0.66
NLRP7,0.997,,,0.158,,,,,0.228,,,0.367,,,,,,0.261,,0.67
NF1,0.292,,,0.522,,,,,0.505,,,0.181,,,,,,0.987,,0.201
CCDC63,0.74,,,0.845,,,,,0.151,,,0.486,,,,,,0.41,,0.543
ALDOA,0.0267,,,0.267,,,,,0.107,,,1.0,,,,,,0.13,,1.0
DPP6,0.998,,,0.227,,,,,0.953,,,0.348,,,,,,0.612,,0.265
KCTD13,0.174,,,0.678,,,,,0.15,,,0.272,,,,,,0.828,,0.383
SLC27A6,0.577,,,0.534,,,,,0.0691,,,0.355,,,,,,0.624,,0.29
GPAT2,0.621,,,0.717,,,,,0.716,,,0.644,,,,,,0.82,,0.496
TNFAIP8L1,0.588,,,0.165,,,,,0.318,,,0.352,,,,,,0.142,,0.353
GMIP,0.722,,,0.543,,,,,0.703,,,0.564,,,,,,0.767,,0.314
FXR2,0.463,,,0.148,,,,,0.932,,,0.365,,,,,,0.747,,0.0343
SERP1,0.43,,,0.596,,,,,0.0446,,,0.363,,,,,,0.439,,0.594
MED19,0.29,,,0.844,,,,,0.0958,,,0.916,,,,,,0.0593,,0.913
FAM3C,0.132,,,0.855,,,,,0.945,,,0.413,,,,,,0.481,,0.225
SLK,0.499,,,0.779,,,,,0.138,,,0.475,,,,,,0.622,,0.855
RAD1,0.625,,,0.969,0.722,,0.802,0.398,0.119,,0.835,0.854,0.783,0.599,0.785,,0.773,0.886,,0.932
BDKRB1,0.197,,,0.177,,,,,0.715,,,0.417,,,,,,0.0846,,0.472
UBAP2L,0.374,0.357,,0.16,,,,,0.779,0.698,,0.49,,,,0.185,,0.0238,0.998,0.187
CTNNBIP1,0.215,,,0.621,,,,,0.994,,,0.277,,,,,,0.999,,0.0783
DNAAF4,0.29,,,0.969,,,,,0.724,,,0.377,,,,,,0.936,,0.181
SPR,0.315,,,0.04,,,,,0.499,,,0.397,,,,,,0.676,,0.613
TAOK2,0.399,,,0.827,,,,,0.0428,,,0.149,,,,,,0.42,,0.0834
RNF138,0.381,,,0.906,0.418,,0.277,0.544,0.271,,0.427,0.353,0.206,0.607,0.233,,0.155,0.938,,0.46
CCL13,0.854,,,0.208,,,,,0.163,,,0.398,,,,,,0.638,,0.667
THRAP3,0.401,,,0.21,,,,,0.0171,,,0.472,,,,,,0.108,,0.247
PNISR,0.981,,,0.0385,,,,,0.299,,,0.739,,,,,,0.237,,0.856
SPINT2,0.396,,,0.271,,,,,0.909,,,0.419,,,,,,0.548,,0.492
TMEM80,0.743,,,0.664,,,,,0.922,,,0.461,,,,,,0.274,,0.246
NAALADL2,0.676,,,0.579,,,,,0.287,,,0.454,,,,,,0.702,,0.321
OR10G3,0.151,,,0.629,,,,,0.0436,,,0.288,,,,,,0.43,,0.368
RRM2,0.961,,,0.911,0.184,,0.787,0.892,0.321,,1.0,0.993,0.605,0.256,0.955,,0.882,0.419,,0.994
RND3,0.0605,,,0.432,,,,,0.298,,,0.201,,,,,,0.384,,0.433
CCDC70,0.83,,,0.0191,,,,,0.827,,,0.493,,,,,,0.886,,0.258
MAP4K1,0.876,,,0.125,,,,,0.338,,,0.392,,,,,,0.51,,0.333
OGFOD2,0.79,,,0.971,,,,,0.725,,,0.361,,,,,,0.706,,0.493
OR2Z1,0.648,,,0.985,,,,,0.907,,,0.442,,,,,,0.769,,0.462
ANXA10,0.0387,,,0.981,,,,,0.509,,,0.318,,,,,,0.557,,0.191
WDR61,0.11,,,,,,,,,,,,,,,,,0.0504,,0.996
CES2,0.454,,,0.597,,,,,0.346,,,0.512,,,,,,0.428,,0.67
TBC1D31,0.36,,,0.837,,,,,0.865,,,0.379,,,,,,0.248,,0.468
B3GAT3,0.457,,,0.431,,,,,0.394,,,0.663,,,,,,0.816,,0.76
PRDX1,0.683,0.236,,0.313,,,,,0.576,0.301,,0.412,,,,0.439,,0.474,0.831,0.379
SLC48A1,0.196,,,0.539,,,,,0.432,,,0.285,,,,,,0.27,,0.257
TADA1,0.492,,,0.971,,,,,0.00363,,,0.987,,,,,,0.11,,0.714
HCRT,0.169,,,0.286,,,,,0.902,,,0.401,,,,,,0.622,,0.33
GABRA2,0.646,,,0.409,,,,,0.245,,,0.285,,,,,,0.447,,0.74
UFC1,0.368,,,0.559,,,,,0.000728,,,0.768,,,,,,0.453,,0.753
TMEM120B,0.49,,,1.0,,,,,0.562,,,0.351,,,,,,0.171,,0.527
DCAF15,0.0564,,,0.237,,,,,0.268,,,0.451,,,,,,0.675,,0.218
DHX8,0.835,0.85,,0.0332,0.623,,0.755,0.126,0.882,0.9,0.249,1.0,0.864,0.523,0.873,0.467,0.819,0.762,0.663,0.989
ZNF835,0.271,,,0.841,,,,,0.839,,,0.29,,,,,,0.813,,0.235
BMT2,0.0647,,,0.769,,,,,0.75,,,0.364,,,,,,0.0189,,0.297
CACNA2D1,0.984,,,0.179,,,,,0.899,,,0.494,,,,,,0.648,,0.348
OR10H2,0.597,,,0.258,,,,,0.105,,,0.275,,,,,,0.508,,0.139
RALGAPA1,0.807,,,0.95,,,,,0.22,,,0.339,,,,,,0.346,,0.311
MAEA,0.754,0.654,,0.945,,,,,0.667,0.728,,0.62,,,,0.619,,0.535,0.739,0.767
PTCD2,0.721,,,0.949,,,,,0.563,,,0.522,,,,,,0.865,,0.569
NWD1,0.0803,,,0.719,,,,,0.947,,,0.562,,,,,,0.64,,0.439
ATG10,0.443,,,0.228,,,,,0.267,,,0.298,,,,,,0.345,,0.651
VANGL1,0.999,,,0.466,,,,,0.982,,,0.438,,,,,,0.00218,,0.825
INAVA,0.0953,,,0.937,,,,,0.469,,,0.454,,,,,,0.333,,0.37
RCVRN,0.938,,,0.722,,,,,0.904,,,0.409,,,,,,0.158,,0.42
CHAC1,0.129,,,0.256,,,,,0.764,,,0.423,,,,,,0.725,,0.239
UPF3A,0.283,,,0.347,,,,,0.153,,,0.665,,,,,,0.946,,0.273
CEP95,0.363,,,0.369,,,,,0.475,,,0.377,,,,,,0.495,,0.303
GRPEL2,0.0819,,,0.511,,,,,0.564,,,0.344,,,,,,0.705,,0.331
MARS1,0.00378,,,0.128,,,,,0.127,,,1.0,,,,,,0.242,,1.0
AGAP1,0.628,,,0.592,,,,,0.811,,,0.182,,,,,,0.79,,0.141
GPC4,0.534,,,0.312,,,,,0.599,,,0.349,,,,,,0.508,,0.493
CFDP1,0.962,,,0.898,,,,,0.367,,,0.999,,,,,,0.883,,0.974
UBC,0.158,,,0.633,,,,,0.00271,,,0.815,,,,,,0.68,,0.98
TRNT1,0.984,,,0.744,,,,,0.265,,,0.964,,,,,,0.31,,0.996
NPAS3,0.626,,,0.324,,,,,0.846,,,0.277,,,,,,0.411,,0.629
DHX29,0.314,0.495,,0.789,,,,,0.545,0.661,,0.594,,,,0.924,,0.564,0.983,0.836
DAD1,0.0704,,,0.119,,,,,0.171,,,1.0,,,,,,0.518,,1.0
SHQ1,0.679,0.837,,0.663,,,,,0.0501,0.793,,0.991,,,,0.213,,0.488,0.0526,1.0
MAPK8IP3,0.591,0.255,,0.793,,,,,0.222,0.254,,0.413,,,,0.474,,0.504,0.584,0.666
NAA50,0.253,,,0.863,,,,,0.0228,,,1.0,,,,,,0.143,,1.0
ZDHHC19,0.695,0.211,,0.577,,,,,0.513,0.161,,0.534,,,,0.432,,0.502,0.315,0.619
ZFAT,0.12,,,0.278,,,,,0.0498,,,0.389,,,,,,0.988,,0.209
ADIRF,0.75,,,0.12,,,,,0.621,,,0.494,,,,,,0.527,,0.327
USP31,0.924,,,0.397,,,,,0.38,,,0.311,,,,,,0.318,,0.418
MED10,0.956,,,0.503,,,,,0.0207,,,0.97,,,,,,0.497,,0.859
GBF1,0.337,,,0.719,,,,,0.675,,,0.998,,,,,,0.347,,0.867
CYP2F1,0.238,,,0.432,,,,,0.9,,,0.39,,,,,,0.395,,0.49
ZNF81,0.469,,,0.259,,,,,0.113,,,0.288,,,,,,0.669,,0.389
TMPO,0.681,,,0.658,,,,,0.547,,,0.574,,,,,,0.345,,0.809
ZRANB1,0.0339,,,0.356,,,,,0.546,,,0.628,,,,,,0.924,,0.662
MED6,0.0983,,,0.806,,,,,0.00287,,,0.999,,,,,,0.918,,0.914
SMR3B,0.679,,,0.633,,,,,0.282,,,0.418,,,,,,0.636,,0.196
BEND2,0.368,,,0.155,,,,,0.247,,,0.424,,,,,,0.261,,0.22
TAFA4,0.238,,,0.187,,,,,0.342,,,0.428,,,,,,0.387,,0.333
DPH2,0.00243,,,0.427,,,,,0.283,,,0.648,,,,,,0.875,,0.869
MCM7,0.276,,,0.681,,,,,0.107,,,0.995,,,,,,0.429,,0.963
AKIRIN2,0.804,,,0.77,,,,,0.234,,,0.997,,,,,,0.99,,0.964
ARL1,0.454,,,0.814,,,,,0.000468,,,0.476,,,,,,0.0781,,0.795
GTF3C6,0.27,,,0.55,,,,,0.0422,,,0.582,,,,,,0.913,,0.355
GID8,0.625,,,0.554,,,,,0.755,,,0.707,,,,,,0.543,,0.802
CCDC32,0.148,,,0.122,,,,,0.0542,,,0.166,,,,,,0.82,,0.265
ZNF229,0.545,,,0.374,,,,,0.616,,,0.323,,,,,,0.709,,0.418
NT5C,0.824,,,0.478,,,,,0.883,,,0.356,,,,,,0.482,,0.579
C1orf116,0.957,,,0.997,,,,,0.391,,,0.398,,,,,,0.995,,0.263
LMNA,0.392,,,0.995,0.608,,0.226,0.548,0.838,,0.517,0.823,0.554,0.401,0.205,,0.629,0.0554,,0.991
ZNF329,0.477,,,0.757,,,,,0.0611,,,0.46,,,,,,0.669,,0.522
FADS6,0.889,,,0.123,,,,,0.753,,,0.458,,,,,,0.0864,,0.787
IFT27,0.847,,,0.762,,,,,0.277,,,0.436,,,,,,0.583,,0.409
CDK14,0.073,,,0.553,,,,,0.691,,,0.311,,,,,,0.809,,0.479
KIAA0408,0.529,,,0.281,,,,,0.786,,,0.376,,,,,,0.252,,0.148
MYBPH,0.178,,,0.887,,,,,0.92,,,0.38,,,,,,0.716,,0.24
RLN3,0.563,,,0.492,,,,,0.934,,,0.436,,,,,,0.719,,0.418
OR6K3,0.582,,,0.807,,,,,0.519,,,0.431,,,,,,0.212,,0.585
MORN3,0.333,,,0.0665,,,,,0.433,,,0.544,,,,,,0.0564,,0.654
SLC38A10,0.276,0.46,,0.895,,,,,0.297,0.453,,0.315,,,,0.672,,0.91,0.52,0.425
BMP1,0.368,,,0.339,,,,,0.949,,,0.305,,,,,,0.241,,0.131
TENM1,0.563,,,0.628,,,,,0.529,,,0.327,,,,,,0.107,,0.2
B3GNT3,0.635,,,0.413,,,,,0.723,,,0.532,,,,,,0.284,,0.401
CDYL,0.62,,,0.268,,,,,0.611,,,0.358,,,,,,0.0569,,0.444
DTL,0.988,,,0.29,,,,,0.172,,,1.0,,,,,,0.948,,0.993
RANGRF,0.427,0.207,,0.545,,,,,0.307,0.169,,0.422,,,,0.246,,0.423,0.301,0.373
PTPRB,0.0416,,,0.447,,,,,0.342,,,0.321,,,,,,0.144,,0.283
FEM1C,0.863,,,0.917,,,,,0.191,,,0.521,,,,,,0.91,,0.614
SEMA4F,0.229,,,0.419,,,,,0.934,,,0.59,,,,,,0.747,,0.39
LARP4B,0.521,,,0.75,,,,,0.11,,,0.423,,,,,,0.727,,0.369
CCDC198,0.856,,,0.491,,,,,0.529,,,0.407,,,,,,0.632,,0.381
FAN1,0.454,,,0.899,0.822,,0.24,1.0,0.385,,0.822,0.305,0.299,0.419,0.239,,0.12,0.831,,0.364
RAB13,0.95,,,0.192,,,,,0.483,,,0.644,,,,,,0.542,,0.188
CDX2,0.641,,,0.109,,,,,0.449,,,0.725,,,,,,0.409,,0.366
TDP2,0.617,,,0.559,0.67,,0.249,0.463,0.0107,,0.881,0.636,0.615,0.508,0.183,,0.571,0.219,,0.602
NELFB,0.0775,,,0.36,0.501,,0.65,0.41,0.366,,0.0664,1.0,0.831,0.335,0.706,,0.807,0.399,,0.998
SMARCA5,0.585,,,0.00587,,,,,0.112,,,0.93,,,,,,0.0507,,0.918
NAT10,0.314,,0.436,0.769,,0.891,,,0.0432,,,1.0,,,,,,0.54,,1.0
SURF6,0.0192,,,0.513,,,,,0.286,,,0.887,,,,,,0.196,,0.95
RBM42,0.137,,,0.597,,,,,0.484,,,0.788,,,,,,0.0748,,0.685
SPEN,0.817,,,0.38,,,,,0.0579,,,0.697,,,,,,0.904,,0.85
YPEL3,0.562,,,0.474,,,,,0.327,,,0.417,,,,,,0.0774,,0.562
CPN2,0.343,,,0.0076,,,,,0.604,,,0.416,,,,,,0.26,,0.373
COL27A1,0.258,0.208,,0.891,,,,,0.924,0.186,,0.302,,,,0.435,,0.0654,0.477,0.51
PRAM1,0.949,,,0.885,,,,,0.794,,,0.481,,,,,,0.563,,0.418
ATPAF1,0.587,,,0.398,,,,,0.763,,,0.429,,,,,,0.884,,0.247
PATZ1,0.254,,,0.905,,,,,0.604,,,0.684,,,,,,0.662,,0.728
CENPM,0.337,,,0.44,,,,,0.859,,,1.0,,,,,,0.432,,1.0
CMKLR1,0.699,,,0.277,,,,,0.208,,,0.445,,,,,,0.565,,0.276
IAPP,0.6,,,0.301,,,,,0.195,,,0.382,,,,,,0.498,,0.215
H2AC4,0.552,,,1.0,,,,,0.701,,,0.448,,,,,,0.197,,0.563
SFTA3,0.94,,,0.31,,,,,0.757,,,0.307,,,,,,0.544,,0.326
MMRN1,0.934,,,0.0634,,,,,0.581,,,0.354,,,,,,0.245,,0.57
RETNLB,0.799,,,0.811,,,,,0.492,,,0.346,,,,,,0.22,,0.249
SCARF1,0.159,,,0.0274,,,,,0.519,,,0.44,,,,,,0.323,,0.409
CHI3L1,0.155,,,0.539,,,,,0.779,,,0.455,,,,,,0.915,,0.449
GYPA,0.972,,,0.113,,,,,0.697,,,0.374,,,,,,0.519,,0.283
ORMDL3,0.226,,,0.543,,,,,0.967,,,0.41,,,,,,0.581,,0.307
RNF122,0.102,,,0.359,,,,,0.256,,,0.346,,,,,,0.932,,0.231
NCBP3,0.918,,,0.992,,,,,0.921,,,0.439,,,,,,0.246,,0.584
BPGM,0.771,,,0.999,,,,,0.78,,,0.306,,,,,,0.285,,0.35
DIMT1,0.556,,,0.481,,,,,0.0326,,,0.991,,,,,,0.362,,0.999
PLBD1,0.792,,,0.03,,,,,0.406,,,0.394,,,,,,0.784,,0.251
STARD3,0.889,,,0.593,,,,,0.534,,,0.374,,,,,,0.0912,,0.507
UFSP2,0.541,,,0.824,,,,,0.00632,,,0.498,,,,,,0.835,,0.588
CFAP299,0.141,,,0.822,,,,,0.165,,,0.321,,,,,,0.405,,0.499
HOXB4,0.782,,,0.933,,,,,0.279,,,0.435,,,,,,0.467,,0.432
DXO,0.249,,,0.31,,,,,0.318,,,0.586,,,,,,0.443,,0.42
NUP50,0.724,,,1.0,,,,,0.997,,,0.998,,,,,,0.0184,,0.985
SUPT6H,0.226,,,0.231,,,,,0.338,,,1.0,,,,,,0.0914,,0.994
TMEM14EP,0.494,,,0.109,,,,,0.84,,,0.397,,,,,,0.264,,0.745
